episode_key	source_file	status	method
W6L1 - Grundbog kapitel 04 - Fænomenologisk personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	done_manual_curated_v2	manual_curated_v2
W6L1 - Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	done_manual_curated_v2	manual_curated_v2
W6L1 - X Moeskær Hansen & Roald (2022) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 X Moeskær Hansen & Roald (2022).pdf	done_manual_curated_v2	manual_curated_v2
W6L1 - X Spinelli (2005) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L1 Fænomenologi/W6L1 X Spinelli (2005).pdf	done_manual_curated_v2	manual_curated_v2
W6L2 - Boss (1963) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L2 Eksistentiel personlighedspsykologi I (Funch)/W6L2 Boss (1963).pdf	done_manual_curated_v2	manual_curated_v2
W6L2 - May (1966) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W6L2 Eksistentiel personlighedspsykologi I (Funch)/W6L2 May (1966).pdf	done_manual_curated_v2	manual_curated_v2
W7L1 - Cooper (2003) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W7L1 Eksistentiel personlighedspsykologi II (Bjerregaard-Nielsen)/W7L1 Cooper (2003).pdf	done_manual_curated_v2	manual_curated_v2
W7L1 - Jacobsen (2021) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W7L1 Eksistentiel personlighedspsykologi II (Bjerregaard-Nielsen)/W7L1 Jacobsen (2021).pdf	done_manual_curated_v2	manual_curated_v2
W7L2 - Evans (1975) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W7L2 Humanistisk psykologi/W7L2 Evans (1975).pdf	done_manual_curated_v2	manual_curated_v2
W7L2 - Giorgi (2005) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W7L2 Humanistisk psykologi/W7L2 Giorgi (2005).pdf	done_manual_preexisting	manual_from_pdf_v1
W7L2 - Maslow (1968) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W7L2 Humanistisk psykologi/W7L2 Maslow (1968).pdf	done_manual_curated_v2	manual_curated_v2
W8L1 - Lamiell, J.T. (2021) [EN] {type=audio lang=en format=deep-dive length=long hash=fa9adbcf}.mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W8L1 Critical personalism/Lamiell, J.T. (2021).pdf	done_manual_curated_v2	manual_curated_v2
W8L1 - Lamiell, J.T. (2021) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W8L1 Critical personalism/Lamiell, J.T. (2021).pdf	done_manual_curated_v2	manual_curated_v2
W8L1 - Laux et al. (2010) [EN] {type=audio lang=en format=deep-dive length=long hash=fa9adbcf}.mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W8L1 Critical personalism/W8L1 Laux et al. (2010).pdf	done_manual_curated_v2	manual_curated_v2
W8L1 - Laux et al. (2010) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W8L1 Critical personalism/W8L1 Laux et al. (2010).pdf	done_manual_curated_v2	manual_curated_v2
W8L2 - Holzkamp (1982) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W8L2 Critical psychology/W8L2 Holzkamp (1982).pdf	done_manual_curated_v2	manual_curated_v2
